IATA,ICAO,Airport,Location,Country,UTC,Latitudes,Longitudes,Elevation,URL,PAX,OPs,Cargo,Year
SZM,,Sesriem Airport,Sesriem,Namibia,,,,,https://en.wikipedia.org/wiki/Sesriem_Airport,,,,
SZN,KSZN,Santa Cruz Island Airport,"Santa Cruz Island, California","United States
",,34.06055555555555,-119.915,50,https://en.wikipedia.org/wiki/Santa_Cruz_Island_Airport,,,,
SZP,KSZP,Santa Paula Airport,"Santa Paula, California","United States
",,34.346944444444446,-119.06166666666667,243,https://en.wikipedia.org/wiki/Santa_Paula_Airport,,97000,,2011
SZR,LBSZ,Stara Zagora Airport,Stara Zagora,Bulgaria,,42.376666666666665,25.655277777777776,643,https://en.wikipedia.org/wiki/Stara_Zagora_Airport,,,,
SZS,NZRC,Ryan's Creek Aerodrome,Stewart Island,New Zealand,,-46.89972222222222,168.10166666666666,288,https://en.wikipedia.org/wiki/Ryan's_Creek_Aerodrome,,,,
SZU,,Ségou Airport,Ségou,Mali,,,,,https://en.wikipedia.org/wiki/Ségou_Airport,,,,
SZV,ZSSZ,Suzhou Guangfu Airport,"Suzhou, Jiangsu","China
",,31.263055555555557,120.40055555555556,,https://en.wikipedia.org/wiki/Suzhou_Guangfu_Airport,,,,
SZW,EDOP,Schwerin-Parchim International Airport,"Schwerin, Mecklenburg-Vorpommern","Germany
",,,,,https://en.wikipedia.org/wiki/Schwerin-Parchim_International_Airport,,,,
SZX,ZGSZ,Shenzhen Bao'an International Airport,"Shenzhen, Guangdong","China
",,22.639444444444443,113.81083333333333,4 m,https://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,36358185,,,2021
SZY,EPSY,Olsztyn-Mazury Regional Airport,Szczytno,Poland,,,,464,https://en.wikipedia.org/wiki/Olsztyn-Mazury_Regional_Airport,121 300,,,2018
SZZ,EPSC,"""Solidarity"" Szczecin–Goleniów Airport",Szczecin,Poland,"<div class=""mw-ui-icon mw-ui-icon-element indicator mw-ui-icon-small mw-ui-icon-flush-left mw-ui-button mw-ui-quiet",53.584722222222226,14.902222222222223,47 m,"https://en.wikipedia.org/wiki/""Solidarity""_Szczecin–Goleniów_Airport",,,,2018
TAA,,Tarapaina Airport,Tarapaina,Solomon Islands,,,,,https://en.wikipedia.org/wiki/Tarapaina_Airport,,,,
TAB,TTCP,Arthur Napoleon Raymond Robinson International Airport,Tobago,Trinidad and Tobago,,11.149722222222222,-60.83222222222223,38,https://en.wikipedia.org/wiki/Arthur_Napoleon_Raymond_Robinson_International_Airport,,,,2015
TAC,RPVA,Daniel Z. Romualdez Airport,Tacloban,Philippines,,11.227500000000001,125.02777777777777,3 m,https://en.wikipedia.org/wiki/Daniel_Z._Romualdez_Airport,,,,2022
TAD,KTAD,Perry Stokes Airport,"Trinidad, Colorado","United States
",,37.25937777777778,-104.34067499999999,"5,760",https://en.wikipedia.org/wiki/Perry_Stokes_Airport,,,,
TAE,RKTN,Daegu International Airport,Daegu,South Korea,,35.89416666666666,128.6588888888889,116,https://en.wikipedia.org/wiki/Daegu_International_Airport,,,,2019
TAF,DAOL,Oran Tafaraoui Airport,Oran,Algeria,,,,112 m,https://en.wikipedia.org/wiki/Oran_Tafaraoui_Airport,,,,
TAG,RPSP,Bohol–Panglao International Airport,Tagbilaran,Philippines,,9.566666666666666,123.775,13 m,https://en.wikipedia.org/wiki/Bohol–Panglao_International_Airport,,,,2022
TAH,NVVW,Whitegrass Airport,Tanna Island,Vanuatu,,-19.455,169.2238888888889,27,https://en.wikipedia.org/wiki/Whitegrass_Airport,,,,
TAI,OYTZ,Taiz International Airport,Taiz,Yemen,,13.685833333333333,44.13916666666667,"4,838",https://en.wikipedia.org/wiki/Taiz_International_Airport,,,,
TAJ,,Tadji Airport,Aitape,Papua New Guinea,,,,16,https://en.wikipedia.org/wiki/Tadji_Airport,,,,
TAK,RJOT,Takamatsu Airport,"Takamatsu, Shikoku","Japan
",,34.21416666666667,134.01555555555555,607,https://en.wikipedia.org/wiki/Takamatsu_Airport,1809820,,6994,2015
TAL,PATA,Ralph M. Calhoun Memorial Airport,"Tanana, Alaska","United States
",,65.17444444444445,-152.10944444444445,236,https://en.wikipedia.org/wiki/Ralph_M._Calhoun_Memorial_Airport,,3100,,2009
TAM,MMTM,General Francisco Javier Mina International Airport,"Tampico, Tamaulipas","Mexico
",,22.29638888888889,-97.86583333333333,80,https://en.wikipedia.org/wiki/General_Francisco_Javier_Mina_International_Airport,,,,2022
TAN,YTGA,Tangalooma Airport,"Tangalooma, Queensland","Australia
",,,,,https://en.wikipedia.org/wiki/Tangalooma_Airport,,,,
TAO,ZSQD,Qingdao Jiaodong International Airport,"Qingdao, Shandong","China
",,36.36194444444445,120.08833333333332,,https://en.wikipedia.org/wiki/Qingdao_Jiaodong_International_Airport,,,,
TAP,MMTP,Tapachula International Airport,"Tapachula, Chiapas","Mexico
",,14.794444444444444,-92.36999999999999,97,https://en.wikipedia.org/wiki/Tapachula_International_Airport,503254,,,2022
TAQ,,Tarcoola Airport,"Tarcoola, South Australia","Australia
",,,,410,https://en.wikipedia.org/wiki/Tarcoola_Airport,,,,
TAR,LIBG,Taranto-Grottaglie Airport,"Taranto, Apulia","Italy
",,,,215,https://en.wikipedia.org/wiki/Taranto-Grottaglie_Airport,,,,
TAS,UTTT,Tashkent International Airport,Tashkent,Uzbekistan,,,,"1,417",https://en.wikipedia.org/wiki/Tashkent_International_Airport,3000000,,,2017
TAT,LZTT,Poprad–Tatry Airport,Poprad,Slovakia,,,,"2,356",https://en.wikipedia.org/wiki/Poprad–Tatry_Airport,,,,
TAU,,Tauramena Airport,Tauramena,Colombia,,,,,https://en.wikipedia.org/wiki/Tauramena_Airport,,,,
TAV,,Tau Airport,Tau,American Samoa,,-14.229166666666666,-169.51111111111112,56 m,https://en.wikipedia.org/wiki/Tau_Airport,,4380,,1989
TAW,SUTB,Tacuarembó Airport,Tacuarembó,Uruguay,,-31.749166666666667,-55.92638888888889,440,https://en.wikipedia.org/wiki/Tacuarembó_Airport,,,,
TAX,WAPT,Taliabu Airport,Taliabu,Indonesia,,,,,https://en.wikipedia.org/wiki/Taliabu_Airport,,,,
TAY,EETU,Tartu Airport,Tartu,Estonia,,58.3075,26.686944444444446,219,https://en.wikipedia.org/wiki/Tartu_Airport,,,0,2022
TAZ,UTAT,Daşoguz Airport,Daşoguz,Turkmenistan,"<th colspan=""4"" style=""text-align:left; background:#DDDDDD;",,,,https://en.wikipedia.org/wiki/Daşoguz_Airport,,,,
TBA,,Tabibuga Airport,Tabibuga,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Tabibuga_Airport,,,,
TBB,VVTH,Dong Tac Airport,Tuy Hòa,Vietnam,,13.049444444444445,109.33361111111111,6 m,https://en.wikipedia.org/wiki/Dong_Tac_Airport,,,,
TBC,,Tuba City Airport,"Tuba City, Arizona","United States
",,,,"4,513",https://en.wikipedia.org/wiki/Tuba_City_Airport,,250,,2010
TBD,SKMB,Timbiquí Airport,Timbiquí,Colombia,,,,,https://en.wikipedia.org/wiki/Timbiquí_Airport,,,,
TBE,,Timbunke Airport,Timbunke,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Timbunke_Airport,,,,
TBF,NGTE,Tabiteuea North Airport,Tabiteuea North,Kiribati,,-1.2244444444444447,174.77555555555557,4,https://en.wikipedia.org/wiki/Tabiteuea_North_Airport,,,,
TBG,AYTB,Tabubil Airport,Tabubil,Papua New Guinea,,-5.278611111111111,141.22583333333333,"1,500",https://en.wikipedia.org/wiki/Tabubil_Airport,,,,
TBH,RPVU,Tugdan Airport,Tablas Island,Philippines,,12.310833333333335,122.08444444444444,3 m,https://en.wikipedia.org/wiki/Tugdan_Airport,17050,,,2010
TBI,MYCB,New Bight Airport,"New Bight, Cat Island",Bahamas,,24.31527777777778,-75.45222222222222,5,https://en.wikipedia.org/wiki/New_Bight_Airport,,,,
TBJ,DTKA,Tabarka–Aïn Draham International Airport,Tabarka,Tunisia,,,,230,https://en.wikipedia.org/wiki/Tabarka–Aïn_Draham_International_Airport,,,,
TBK,YTBR,Timber Creek Airport,"Timber Creek, Northern Territory","Australia
",,-15.620555555555557,130.44805555555556,51,https://en.wikipedia.org/wiki/Timber_Creek_Airport,,,,
TBL,YTAB,Tableland Homestead Airport,"Tableland, Western Australia","Australia
",,,,,https://en.wikipedia.org/wiki/Tableland_Homestead_Airport,,,,
TBM,WAOW,Tumbang Samba Airport,Tumbang Samba,Indonesia,,,,,https://en.wikipedia.org/wiki/Tumbang_Samba_Airport,,,,
TBN,KTBN,Waynesville-St. Robert Regional Airport,"Fort Leonard Wood, Missouri","United States
",,37.74166666666667,-92.14083333333333,"1,159",https://en.wikipedia.org/wiki/Waynesville-St._Robert_Regional_Airport,,,,
TBO,HTTB,Tabora Airport,Tabora,Tanzania,,-5.076111111111111,32.830555555555556,"3,868",https://en.wikipedia.org/wiki/Tabora_Airport,24757,,,2009
TBP,SPME,Cap. FAP Pedro Canga Rodríguez Airport,Tumbes,Peru,,-3.551388888888889,-80.38194444444444,115,https://en.wikipedia.org/wiki/Cap._FAP_Pedro_Canga_Rodríguez_Airport,,,,
TBQ,,Tarabo Airport,Tarabo,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Tarabo_Airport,,,,
TBR,KTBR,Statesboro–Bulloch County Airport,"Statesboro, Georgia","United States
",,32.48277777777778,-81.73694444444445,187,https://en.wikipedia.org/wiki/Statesboro–Bulloch_County_Airport,,18500,,2007
TBS,UGTB,Tbilisi International Airport,Tbilisi,Georgia,,41.66916666666666,44.95472222222222,"1,624",https://en.wikipedia.org/wiki/Tbilisi_International_Airport,3692202,,,2019
TBT,SBTT,Tabatinga International Airport,"Tabatinga, Amazonas","Brazil
",,-4.250555555555556,-69.93777777777778,85 m,https://en.wikipedia.org/wiki/Tabatinga_International_Airport,,,,2021
TBU,NFTF,Fuaʻamotu International Airport,Nukuʻalofa,Tonga,,-21.241111111111113,-175.14944444444444,126,https://en.wikipedia.org/wiki/Fuaʻamotu_International_Airport,,,,
TBV,,Tabal Airport,"Tabal Island, Aur Atoll",Marshall Islands,,,,,https://en.wikipedia.org/wiki/Tabal_Airport,,,,
TBW,UUOT,Tambov Donskoye Airport,"Tambov, Tambov Oblast","Russia
",,52.80583333333333,41.48277777777778,417,https://en.wikipedia.org/wiki/Tambov_Donskoye_Airport,,,,
TBY,FBTS,Tshabong Airport,Tsabong,Botswana,,,,"3,179",https://en.wikipedia.org/wiki/Tshabong_Airport,,,,
TBZ,OITT,Tabriz International Airport,Tabriz,Iran,"<th colspan=""4"" style=""text-align:left; background:#DDDDDD;",38.13388888888889,46.235,"4,459",https://en.wikipedia.org/wiki/Tabriz_International_Airport,,,,2017
TCA,YTNK,Tennant Creek Airport,"Tennant Creek, Northern Territory","Australia
",,-19.634444444444444,134.18333333333334,"1,236",https://en.wikipedia.org/wiki/Tennant_Creek_Airport,,,,
TCB,MYAT,Treasure Cay Airport,"Treasure Cay, Abaco Islands",Bahamas,,26.74527777777778,-77.39111111111112,10,https://en.wikipedia.org/wiki/Treasure_Cay_Airport,,,,
TCC,KTCC,Tucumcari Municipal Airport,"Tucumcari, New Mexico","United States
",,35.18277777777777,-103.60305555555556,"4,065",https://en.wikipedia.org/wiki/Tucumcari_Municipal_Airport,,,,
TCD,SKRA,Tarapacá Airport,Tarapacá,Colombia,,-2.894722222222222,-69.74722222222222,253,https://en.wikipedia.org/wiki/Tarapacá_Airport,,,,
TCE,LRTC,Tulcea Danube Delta Airport,Tulcea,Romania,,,,,https://en.wikipedia.org/wiki/Tulcea_Danube_Delta_Airport,,,,
TCF,,Tocoa Airport,Tocoa,Honduras,,,,,https://en.wikipedia.org/wiki/Tocoa_Airport,,,,
TCG,ZWTC,Tacheng Airport,"Tacheng, Xinjiang","China
",,,,604 m,https://en.wikipedia.org/wiki/Tacheng_Airport,160886,,9,2021
TCH,FOOT,Tchibanga Airport,Tchibanga,Gabon,,-2.8875,10.955555555555556,269,https://en.wikipedia.org/wiki/Tchibanga_Airport,,,,
"TCI<sup id=""cite_ref-IATA_1-22"" class=""reference""><a href=""#cite_note-IATA-1"">[1]</a></sup>",,"<a href=""#endnote_1"">1","Tenerife, Canary Islands","Spain
",,,,,"https://en.wikipedia.org/wiki/<a_href=""#endnote_1"">1",,,,
TCJ,,Torembi Airport,Torembi,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Torembi_Airport,,,,
TCK,,Tinboli Airport,Tinboli,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Tinboli_Airport,,,,
TCL,KTCL,Tuscaloosa Regional Airport,"Tuscaloosa, Alabama","United States
",,,,170,https://en.wikipedia.org/wiki/Tuscaloosa_Regional_Airport,,53371,,2016
TCM,KTCM,McChord Field,"Tacoma, Washington","United States
",,,,98.1 metres (322,https://en.wikipedia.org/wiki/McChord_Field,,,,
TCN,MMHC,Tehuacán Airport,"Tehuacán, Puebla","Mexico
",,,,"5,509",https://en.wikipedia.org/wiki/Tehuacán_Airport,2156,,,2022
TCO,SKCO,La Florida Airport,Tumaco,Colombia,,,,,https://en.wikipedia.org/wiki/La_Florida_Airport,,,,
TCP,HETB,Taba International Airport,Taba,Egypt,,,,"2,415",https://en.wikipedia.org/wiki/Taba_International_Airport,,,,
TCQ,SPTN,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,Peru,,,,"1,538",https://en.wikipedia.org/wiki/Coronel_FAP_Carlos_Ciriani_Santa_Rosa_International_Airport,,,,
TCR,VOTK,Tuticorin Airport,"Thoothukudi, Tamil Nadu","India
",,8.724166666666667,78.02583333333334,39 m,https://en.wikipedia.org/wiki/Tuticorin_Airport,,,,Apri
TCS,KTCS,Truth or Consequences Municipal Airport,"Truth or Consequences, New Mexico","United States
",,33.23694444444445,-107.27166666666666,"4,853",https://en.wikipedia.org/wiki/Truth_or_Consequences_Municipal_Airport,,,,
TCT,,Takotna Airport,"Takotna, Alaska","United States
",,62.993611111111115,-156.02805555555557,422,https://en.wikipedia.org/wiki/Takotna_Airport,,,,
TCU,FATN,Thaba Nchu Airport,Thaba 'Nchu,South Africa,,,,,https://en.wikipedia.org/wiki/Thaba_Nchu_Airport,,,,
TCV,FQTE,Tete Airport,Tete,Mozambique,,,,,https://en.wikipedia.org/wiki/Tete_Airport,,,,
TCW,YTOC,Tocumwal Airport,"Tocumwal, New South Wales","Australia
",,-35.81083333333333,145.60416666666666,372,https://en.wikipedia.org/wiki/Tocumwal_Airport,,,,
TCX,OIMT,Tabas Airport,Tabas,Iran,,,,"2,312",https://en.wikipedia.org/wiki/Tabas_Airport,,,,
TCY,FYTE,Terrace Bay Airport,Terrace Bay,Namibia,,48.81333333333333,-87.09944444444444,950,https://en.wikipedia.org/wiki/Terrace_Bay_Airport,,,,
TCZ,ZUTC,Tengchong Tuofeng Airport,"Tengchong, Yunnan","China
","<th colspan=""4"" style=""text-align:left; background:#DDDDDD;",24.938333333333333,98.48583333333333,"1,888 m",https://en.wikipedia.org/wiki/Tengchong_Tuofeng_Airport,665308,,3273,2021
TDA,SKTD,Trinidad Airport,Trinidad,Colombia,,5.430555555555556,-71.65833333333335,650,https://en.wikipedia.org/wiki/Trinidad_Airport,,,,
TDB,,Tetebedi Airport,Tetebedi,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Tetebedi_Airport,,,,
TDD,SLTR,Teniente Jorge Henrich Arauz Airport,Trinidad,Bolivia,,-14.820833333333333,-64.91666666666667,509,https://en.wikipedia.org/wiki/Teniente_Jorge_Henrich_Arauz_Airport,,,,
TDG,RPMW,Tandag Airport,Tandag,Philippines,,9.072111111111111,126.17144444444445,5 m,https://en.wikipedia.org/wiki/Tandag_Airport,,,,
TDJ,HDTJ,Tadjoura Airport,Tadjoura,Djibouti,,11.783333333333333,42.916666666666664,246,https://en.wikipedia.org/wiki/Tadjoura_Airport,,,,
TDK,,Taldykorgan Airport,Taldykorgan,Kazakhstan,,45.1225,78.44277777777778,592.5 m,https://en.wikipedia.org/wiki/Taldykorgan_Airport,,,,
TDL,SAZT,Tandil Airport,"Tandil, Buenos Aires","Argentina
",,-37.233333333333334,-59.22916666666667,576,https://en.wikipedia.org/wiki/Tandil_Airport,,,,
TDN,YTHD,Theda Station Airport,"Theda Station, Western Australia","Australia
",,,,,https://en.wikipedia.org/wiki/Theda_Station_Airport,,,,
TDO,KTDO,South Lewis County Airport,"Toledo, Washington","United States
",,46.477222222222224,-122.80638888888889,374,https://en.wikipedia.org/wiki/South_Lewis_County_Airport,,36363,,2008
TDP,SPDR,Trompeteros Airport,Trompeteros,Peru,,-3.8055555555555554,-75.03888888888889,418,https://en.wikipedia.org/wiki/Trompeteros_Airport,,,,
TDR,YTDR,Theodore Airport,"Theodore, Queensland","Australia
",,,,,https://en.wikipedia.org/wiki/Theodore_Airport,,,,
TDS,AYSS,Sasereme Airport,Sasereme,Papua New Guinea,,,,121,https://en.wikipedia.org/wiki/Sasereme_Airport,,,,
TDT,,Tanda Tula Airport,Timbavati,South Africa,,,,,https://en.wikipedia.org/wiki/Tanda_Tula_Airport,,,,
TDV,FMSN,Samangoky Airport,Tanandava,Madagascar,,,,,https://en.wikipedia.org/wiki/Samangoky_Airport,,,,
TDW,KTDW,Tradewind Airport,"Amarillo, Texas","United States
",,,,"3,649",https://en.wikipedia.org/wiki/Tradewind_Airport,,32790,,2009
TDX,VTBO,Trat Airport,Trat,Thailand,,12.274572222222224,102.31895833333333,105,https://en.wikipedia.org/wiki/Trat_Airport,,,,2015
TDZ,KTDZ,Toledo Executive Airport,"Toledo, Ohio","United States
","<th colspan=""4"" style=""text-align:left; background:#DDDDDD;",,,623,https://en.wikipedia.org/wiki/Toledo_Executive_Airport,,90600,,2009
TEA,MHTE,Tela Airport,Tela,Honduras,,15.776388888888889,-87.47500000000001,7,https://en.wikipedia.org/wiki/Tela_Airport,,,,
TEB,KTEB,Teterboro Airport,"Teterboro, New Jersey","United States
",,40.85,-74.06083333333333,8.4,https://en.wikipedia.org/wiki/Teterboro_Airport,,"173625<sup id=""cite_ref-OPSNET_1-0"" class=""reference""><a href=""#cite_note-OPSNET-1"">[1]</a></sup>",,2019
TEC,SBTL,Telêmaco Borba Airport,"Telêmaco Borba, Paraná","Brazil
",,-24.31638888888889,-50.65222222222222,796 m,https://en.wikipedia.org/wiki/Telêmaco_Borba_Airport,,,,2011
TED,EKTS,Thisted Airport,Thisted,Denmark,,57.0688,8.705224999999999,23,https://en.wikipedia.org/wiki/Thisted_Airport,9837,,,2006
TEE,DABS,Cheikh Larbi Tébessi Airport,Tébessa,Algeria,,,,811 m,https://en.wikipedia.org/wiki/Cheikh_Larbi_Tébessi_Airport,12607,,,2020
TEF,YTEF,Telfer Airport,"Telfer, Western Australia","Australia
",,-21.715,122.2286111111111,970,https://en.wikipedia.org/wiki/Telfer_Airport,,,,
TEG,DFET,Tenkodogo Airport,Tenkodogo,Burkina Faso,,11.802333333333333,-0.3715,"1,017",https://en.wikipedia.org/wiki/Tenkodogo_Airport,,,,
TEH,,Tetlin Airport,"Tetlin, Alaska","United States
",,,,,https://en.wikipedia.org/wiki/Tetlin_Airport,,,,
TEI,VETJ,Tezu Airport,"Tezu, Arunachal Pradesh","India
",,27.9422,96.1339,769,https://en.wikipedia.org/wiki/Tezu_Airport,,,,Apri
TEK,PAKA,Tatitlek Airport,"Tatitlek, Alaska","United States
",,60.8725,-146.69111111111113,62,https://en.wikipedia.org/wiki/Tatitlek_Airport,,,,2010
TEL,WBKE,Telupid Airport,"Telupid, Sabah","Malaysia
",,,,,https://en.wikipedia.org/wiki/Telupid_Airport,,,,
TEM,YTEM,Temora Airport,"Temora, New South Wales","Australia
",,-34.42166666666667,147.51166666666666,921,https://en.wikipedia.org/wiki/Temora_Airport,,,,
TEN,ZUTR,Tongren Fenghuang Airport,"Tongren, Guizhou","China
",,27.883333333333333,109.30888888888889,705 m,https://en.wikipedia.org/wiki/Tongren_Fenghuang_Airport,528431,,44.6,2021
TEO,,Terapo Airport,Terapo,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Terapo_Airport,,,,
TEP,,Teptep Airport,Teptep,Papua New Guinea,,,,,https://en.wikipedia.org/wiki/Teptep_Airport,,,,
TEQ,LTBU,Tekirdağ Çorlu Airport,Tekirdağ,Turkey,,,,574,https://en.wikipedia.org/wiki/Tekirdağ_Çorlu_Airport,,,,
TER,LPLA,Lajes Airport,"Terceira Island, Azores",Portugal,,38.761944444444445,-27.090833333333332,55 m,https://en.wikipedia.org/wiki/Lajes_Airport,631236,5415,,2016
TES,HHTS,Teseney Airport,Teseney,Eritrea,,15.102777777777778,36.68333333333333,"2,018",https://en.wikipedia.org/wiki/Teseney_Airport,,,,
TET,FQTT,Chingozi Airport,Tete,Mozambique,,,,525,https://en.wikipedia.org/wiki/Chingozi_Airport,,,,
TEU,NZMO,Te Anau Airport,Te Anau,New Zealand,,-45.533055555555556,167.65,687,https://en.wikipedia.org/wiki/Te_Anau_Airport,,,,
TEV,LETL,Teruel Airport,"Teruel, Aragon","Spain
",,,,"3,367",https://en.wikipedia.org/wiki/Teruel_Airport,,,,
